City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lagoa,PT,60.75,overcast clouds,39.05,-27.9833,Casa Das Faias
3,Busselton,AU,66.09,clear sky,-33.65,115.3333,Observatory Guest House
4,Namibe,AO,68.67,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
12,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
13,Punta Arenas,CL,53.71,overcast clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
14,Ushuaia,AR,50.04,overcast clouds,-54.8,-68.3,Albatros Hotel
15,Port Alfred,ZA,64.2,scattered clouds,-33.5906,26.891,The Halyards Hotel
18,Bluff,NZ,51.75,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
25,Cape Town,ZA,63.28,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
27,Alexandria,EG,70.39,few clouds,31.2156,29.9553,Royal Crown Hotel
32,Mataura,NZ,59.38,broken clouds,-46.1927,168.8643,Ellie's Villa
36,Vilhena,BR,74.93,overcast clouds,-12.7406,-60.1458,Hotel Mirage
38,Hobart,AU,58.86,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
39,Fukue,JP,55.26,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
40,Cidreira,BR,69.78,broken clouds,-30.1811,-50.2056,Hotel Castelo
46,Mapimi,MX,66.97,overcast clouds,25.8167,-103.85,Propiedad Lldm
48,East London,ZA,65.34,scattered clouds,-33.0153,27.9116,Tu Casa
50,Port Elizabeth,ZA,61.09,clear sky,-33.918,25.5701,39 On Nile Guest House
54,Coracora,PE,51.76,moderate rain,-15.0333,-73.7833,Hotel Universo
58,Port Hardy,CA,50.0,overcast clouds,50.6996,-127.4199,Airport Inn
62,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
69,Saint George,US,61.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
72,Doha,QA,73.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
75,Dickinson,US,57.47,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
76,Esperance,AU,62.29,clear sky,-33.8667,121.9,Hospitality Esperance
82,Sumbawanga,TZ,62.22,light rain,-7.9667,31.6167,Matamba II Guest House
84,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Tuatapere,NZ,57.56,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
89,Coihaique,CL,57.15,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
90,Airai,TL,63.21,overcast clouds,-8.9266,125.4092,Juvinal Martin
92,Richards Bay,ZA,67.26,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
100,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
109,Parakan,ID,73.31,overcast clouds,-6.4191,106.0081,Mejlis taklim Al-ikhlas
110,Hermanus,ZA,64.47,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
112,Coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Punto de encuentro
114,Inhambane,MZ,68.18,scattered clouds,-23.865,35.3833,Oceano
116,New Norfolk,AU,58.5,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
117,Solok,ID,72.55,overcast clouds,-0.7918,100.6593,Mami Hotel & Restaurant
122,Chabahar,IR,74.73,clear sky,25.2919,60.643,هتل گدروشیا
124,Manono,CD,69.19,few clouds,-7.3,27.4167,Hotel hewa bora
135,Betare Oya,CM,69.78,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
139,Bredasdorp,ZA,65.77,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
140,Callaguip,PH,73.42,broken clouds,18.0714,120.4867,Pangil Beach Resort
145,Fortuna,US,61.72,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
147,Rocha,UY,68.85,broken clouds,-34.4833,-54.3333,Hotel Arrarte
150,Pacific Grove,US,74.88,clear sky,36.6177,-121.9166,Lovers Point Inn
