City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,29.05,65,8,12.06,clear sky
1,Lagoa,PT,39.05,-27.9833,60.75,64,85,11.21,overcast clouds
2,Butaritari,KI,3.0707,172.7902,82.06,74,30,20.36,scattered clouds
3,Busselton,AU,-33.65,115.3333,66.09,61,1,5.61,clear sky
4,Namibe,AO,-15.1961,12.1522,68.67,72,73,6.98,broken clouds
5,Puerto Boyaca,CO,5.9758,-74.5885,82.35,77,79,1.36,broken clouds
6,Barcelos,PT,41.5388,-8.6151,42.94,75,6,7.07,clear sky
7,Vila Velha,BR,-20.3297,-40.2925,76.95,73,0,11.5,clear sky
8,Hithadhoo,MV,-0.6,73.0833,81.63,71,32,17.78,scattered clouds
9,Cabo San Lucas,MX,22.8909,-109.9124,77.31,69,90,12.66,overcast clouds
10,Atuona,PF,-9.8,-139.0333,78.73,73,41,20.42,scattered clouds
11,Aracati,BR,-4.5617,-37.7697,80.91,74,11,12.71,few clouds
12,Salalah,OM,17.0151,54.0924,73.49,49,0,3.44,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,53.71,54,90,8.05,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,50.04,48,100,5.57,overcast clouds
15,Port Alfred,ZA,-33.5906,26.891,64.2,82,37,8.72,scattered clouds
16,Manta,EC,-0.95,-80.7333,78.58,73,40,10.36,scattered clouds
17,Sisimiut,GL,66.9395,-53.6735,26.67,94,100,9.89,snow
18,Bluff,NZ,-46.6,168.3333,51.75,64,1,2.39,clear sky
19,Karratha,AU,-20.7377,116.8463,84.16,27,5,15.99,clear sky
20,Jamestown,US,42.097,-79.2353,33.12,74,90,5.75,overcast clouds
21,Hamada,JP,34.8833,132.0833,43.47,68,5,5.28,clear sky
22,Hilo,US,19.7297,-155.09,80.33,57,75,5.75,broken clouds
23,Rikitea,PF,-23.1203,-134.9692,75.79,79,11,15.21,light rain
24,Langenburg,DE,49.2544,9.8458,31.1,100,75,2.3,broken clouds
25,Cape Town,ZA,-33.9258,18.4232,63.28,91,81,17.16,light rain
26,Kapaa,US,22.0752,-159.319,80.92,57,1,10.36,clear sky
27,Alexandria,EG,31.2156,29.9553,70.39,46,17,7.76,few clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,75.16,75,77,10.58,broken clouds
29,Iqaluit,CA,63.7506,-68.5145,24.53,63,90,19.57,light snow
30,Khatanga,RU,71.9667,102.5,-7.24,92,100,14.23,overcast clouds
31,Pingzhuang,CN,42.0372,119.2889,27.21,80,100,2.62,overcast clouds
32,Mataura,NZ,-46.1927,168.8643,59.38,46,59,1.74,broken clouds
33,Nome,US,64.5011,-165.4064,-5.73,59,1,10.36,clear sky
34,Beroroha,MG,-21.6667,45.1667,72.28,62,0,6.69,clear sky
35,Kavaratti,IN,10.5669,72.642,81.46,77,100,9.01,overcast clouds
36,Vilhena,BR,-12.7406,-60.1458,74.93,85,95,2.42,overcast clouds
37,Vaini,TO,-21.2,-175.2,84.36,84,75,8.05,light rain
38,Hobart,AU,-42.8794,147.3294,58.86,67,0,10.36,clear sky
39,Fukue,JP,32.6881,128.8419,55.26,57,1,15.68,clear sky
40,Cidreira,BR,-30.1811,-50.2056,69.78,93,65,9.35,broken clouds
41,Banamba,ML,13.55,-7.45,81.91,17,95,8.93,overcast clouds
42,La Palma,US,33.8464,-118.0467,83.21,13,20,8.05,few clouds
43,Caarapo,BR,-22.6342,-54.8222,75.31,54,0,4.68,clear sky
44,Vidim,RU,56.4088,103.1106,12.38,94,100,7.31,light snow
45,Ayr,GB,55.4627,-4.6339,33.78,75,20,12.66,few clouds
46,Mapimi,MX,25.8167,-103.85,66.97,59,100,2.33,overcast clouds
47,Oktyabrskoye,RU,43.0645,44.7417,24.94,100,99,2.24,fog
48,East London,ZA,-33.0153,27.9116,65.34,93,42,4.21,scattered clouds
49,Hambantota,LK,6.1241,81.1185,77.07,90,98,6.33,heavy intensity rain
50,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,0,5.75,clear sky
51,Eyl,SO,7.9803,49.8164,78.84,82,24,12.37,few clouds
52,Ostrovnoy,RU,68.0531,39.5131,9.73,86,15,8.66,few clouds
53,Katsuura,JP,35.1333,140.3,44.71,55,0,16.89,clear sky
54,Coracora,PE,-15.0333,-73.7833,51.76,75,99,7.45,moderate rain
55,Sao Filipe,CV,14.8961,-24.4956,78.03,73,40,13.71,scattered clouds
56,Sembakung,ID,3.8167,117.25,72.68,99,99,2.42,heavy intensity rain
57,Nikolskoye,RU,59.7035,30.7861,28.29,93,100,13.18,light snow
58,Port Hardy,CA,50.6996,-127.4199,50.0,88,100,21.3,overcast clouds
