City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hasaki,JP,2021-11-23 22:09:13,35.7333,140.8333,45.0,58,0,17.72
1,Tasiilaq,GL,2021-11-23 22:05:42,65.6145,-37.6368,21.36,59,36,5.95
2,Ushuaia,AR,2021-11-23 22:09:14,-54.8,-68.3,44.26,81,75,9.22
3,Caravelas,BR,2021-11-23 22:09:14,-17.7125,-39.2481,72.21,86,26,6.26
4,Dunedin,NZ,2021-11-23 22:05:07,-45.8742,170.5036,58.73,59,100,1.81
5,Barth,DE,2021-11-23 22:05:44,54.3635,12.7249,49.08,69,21,18.14
6,Busselton,AU,2021-11-23 22:09:15,-33.65,115.3333,54.05,75,1,7.4
7,Tiarei,PF,2021-11-23 22:09:15,-17.5333,-149.3333,87.82,76,98,4.56
8,Srednekolymsk,RU,2021-11-23 22:09:15,67.45,153.6833,-22.07,97,100,3.65
9,Jian,CN,2021-11-23 22:09:15,27.1172,114.9793,45.07,68,95,1.43
10,Yulara,AU,2021-11-23 22:09:16,-25.2406,130.9889,64.76,62,0,19.71
11,Atuona,PF,2021-11-23 22:09:16,-9.8,-139.0333,77.81,77,27,15.08
12,Chokurdakh,RU,2021-11-23 22:09:16,70.6333,147.9167,-26.43,99,98,5.86
13,Victoria,HK,2021-11-23 22:09:07,22.2855,114.1577,63.32,66,45,1.01
14,Rikitea,PF,2021-11-23 22:09:17,-23.1203,-134.9692,76.89,81,30,15.01
15,Atherton,GB,2021-11-23 22:07:40,53.5237,-2.4935,47.75,86,97,1.99
16,Vaini,TO,2021-11-23 22:09:17,-21.2,-175.2,84.36,84,20,4.61
17,Barrow,US,2021-11-23 22:09:18,71.2906,-156.7887,-0.38,78,75,0.0
18,Luziania,BR,2021-11-23 22:09:18,-16.2525,-47.9503,78.49,65,100,4.94
19,Champerico,GT,2021-11-23 22:07:07,14.3,-91.9167,90.14,69,45,5.01
20,Rio Rancho,US,2021-11-23 22:09:19,35.2334,-106.6645,64.04,30,90,1.01
21,Kuusamo,FI,2021-11-23 22:09:19,65.9667,29.1833,21.24,93,90,5.75
22,New Norfolk,AU,2021-11-23 22:09:19,-42.7826,147.0587,66.76,70,100,0.74
23,Laguitas,PH,2021-11-23 22:09:19,8.0892,125.1306,69.35,92,100,2.21
24,Dikson,RU,2021-11-23 22:09:20,73.5069,80.5464,1.13,94,100,12.73
25,Kodiak,US,2021-11-23 22:08:57,57.79,-152.4072,17.11,53,1,5.75
26,Touros,BR,2021-11-23 22:09:20,-5.1989,-35.4608,81.5,79,55,15.1
27,Hermanus,ZA,2021-11-23 22:09:12,-34.4187,19.2345,63.9,79,93,9.1
28,Akdepe,TM,2021-11-23 22:09:21,42.0551,59.3788,35.6,47,4,7.29
29,Ishigaki,JP,2021-11-23 22:09:21,24.3448,124.1572,70.29,68,100,21.99
30,Jamestown,US,2021-11-23 22:09:21,42.097,-79.2353,33.71,90,90,5.99
31,Port Macquarie,AU,2021-11-23 22:09:21,-31.4333,152.9167,71.49,88,75,8.05
32,Muros,ES,2021-11-23 22:09:22,42.7762,-9.0603,52.84,71,45,17.36
33,Ilulissat,GL,2021-11-23 22:09:22,69.2167,-51.1,19.42,42,100,14.97
34,Puerto Ayora,EC,2021-11-23 22:09:22,-0.7393,-90.3518,76.96,76,28,11.65
35,Kudahuvadhoo,MV,2021-11-23 22:09:23,2.6708,72.8944,81.27,74,85,18.25
36,Pombas,CV,2021-11-23 22:09:23,17.1503,-25.0201,74.98,79,2,6.29
37,Brokopondo,SR,2021-11-23 22:09:23,4.75,-55.1667,80.26,78,96,7.14
38,Gimli,CA,2021-11-23 22:09:24,50.6336,-96.9907,34.43,93,86,5.37
39,Albany,US,2021-11-23 22:05:53,42.6001,-73.9662,31.26,57,12,7.0
40,Pevek,RU,2021-11-23 22:09:24,69.7008,170.3133,-21.1,99,47,2.91
41,Bredasdorp,ZA,2021-11-23 22:09:24,-34.5322,20.0403,56.28,80,77,2.8
42,Hilo,US,2021-11-23 22:05:30,19.7297,-155.09,80.33,69,1,8.05
43,Tazovskiy,RU,2021-11-23 22:09:25,67.4667,78.7,11.93,93,100,12.26
44,Udaipura,IN,2021-11-23 22:09:25,23.0833,78.5,64.98,53,0,5.73
45,Airai,TL,2021-11-23 22:09:25,-8.9266,125.4092,62.78,80,100,1.39
46,Cockburn Town,TC,2021-11-23 22:10:26,21.4612,-71.1419,81.14,75,56,14.34
47,Majene,ID,2021-11-23 22:10:26,-3.5403,118.9707,78.66,83,97,2.51
48,Severo-Kurilsk,RU,2021-11-23 22:10:26,50.6789,156.125,37.49,98,100,30.6
49,Cherskiy,RU,2021-11-23 22:10:27,68.75,161.3,-34.06,100,32,4.21
50,Tiksi,RU,2021-11-23 22:06:11,71.6872,128.8694,-20.11,97,59,7.11
51,Pokhvistnevo,RU,2021-11-23 22:10:27,53.6524,52.1274,3.29,98,59,3.29
52,Hobart,AU,2021-11-23 22:10:28,-42.8794,147.3294,67.12,78,0,1.01
53,Srandakan,ID,2021-11-23 22:10:28,-7.9386,110.2506,75.4,93,100,5.97
54,Altamira,BR,2021-11-23 22:10:28,-3.2033,-52.2064,79.05,73,100,1.52
55,Vestmannaeyjar,IS,2021-11-23 22:06:53,63.4427,-20.2734,39.67,65,65,24.85
56,Karwar,IN,2021-11-23 22:10:29,14.8,74.1333,77.76,86,40,4.83
57,Butaritari,KI,2021-11-23 22:10:29,3.0707,172.7902,82.02,73,100,16.75
58,Sakakah,SA,2021-11-23 22:10:29,29.9697,40.2064,57.79,52,0,7.11
59,Porto Novo,BJ,2021-11-23 22:09:27,6.4965,2.6036,80.44,86,95,7.27
60,Narsaq,GL,2021-11-23 22:10:18,60.9167,-46.05,25.02,63,100,9.86
61,San Quintin,MX,2021-11-23 22:10:30,30.4833,-115.95,69.15,57,3,10.94
62,Thompson,CA,2021-11-23 22:09:25,55.7435,-97.8558,-0.24,78,90,12.66
63,Hualmay,PE,2021-11-23 22:10:30,-11.0964,-77.6139,67.32,80,100,9.64
64,Jingdezhen,CN,2021-11-23 22:10:30,29.2947,117.2079,37.9,71,2,2.21
65,Kikwit,CD,2021-11-23 22:10:31,-5.041,18.8162,70.03,96,33,1.52
66,Dawei,MM,2021-11-23 22:10:31,14.0833,98.2,75.18,89,97,6.2
67,Chalmette,US,2021-11-23 22:08:54,29.9427,-89.9634,64.45,43,1,1.99
68,Tsabong,BW,2021-11-23 22:10:31,-26.0217,22.401,71.69,26,14,9.4
69,Bluff,NZ,2021-11-23 22:10:32,-46.6,168.3333,55.65,71,100,13.8
70,Kaitangata,NZ,2021-11-23 22:10:32,-46.2817,169.8464,60.21,51,100,4.72
71,Cabo San Lucas,MX,2021-11-23 22:10:32,22.8909,-109.9124,84.61,62,40,8.01
72,Norman Wells,CA,2021-11-23 22:10:33,65.282,-126.8329,-11.51,96,100,3.36
73,Minab,IR,2021-11-23 22:10:33,27.1467,57.0801,71.1,51,8,4.88
74,Fairbanks,US,2021-11-23 22:10:33,64.8378,-147.7164,-4.0,62,1,0.0
75,Ciudad Bolivar,VE,2021-11-23 22:10:34,8.1222,-63.5497,88.39,47,98,5.75
76,Punta Arenas,CL,2021-11-23 22:10:34,-53.15,-70.9167,51.91,58,0,31.07
77,Vardo,NO,2021-11-23 22:10:34,70.3705,31.1107,21.18,68,75,13.8
78,Aden,YE,2021-11-23 22:10:35,12.7794,45.0367,79.2,67,94,3.91
79,Saint-Philippe,RE,2021-11-23 22:10:35,-21.3585,55.7679,73.22,77,64,11.16
80,Dakar,SN,2021-11-23 22:10:35,14.6937,-17.4441,77.88,65,38,4.68
81,High Level,CA,2021-11-23 22:10:36,58.5169,-117.136,1.51,78,75,8.05
82,Puerto Leguizamo,CO,2021-11-23 22:08:10,-0.1934,-74.7819,75.85,94,100,1.34
83,Pisco,PE,2021-11-23 22:10:36,-13.7,-76.2167,68.05,77,0,14.97
84,Itarema,BR,2021-11-23 22:10:37,-2.9248,-39.9167,80.8,78,100,15.19
85,Nikolskoye,RU,2021-11-23 22:10:37,59.7035,30.7861,31.87,83,86,7.49
86,Milkovo,RU,2021-11-23 22:10:38,54.7167,158.6167,18.99,97,100,4.74
87,Mao,ES,2021-11-23 22:10:38,39.8885,4.2658,61.36,82,75,13.8
88,Avarua,CK,2021-11-23 22:10:38,-21.2078,-159.775,80.65,61,20,17.27
89,Atar,MR,2021-11-23 22:10:39,20.5169,-13.0499,82.87,30,88,9.89
90,Sapa,PH,2021-11-23 22:10:39,5.1544,120.3241,80.8,82,35,7.74
91,Avera,US,2021-11-23 22:11:39,33.194,-82.5271,54.75,34,3,3.31
92,Provideniya,RU,2021-11-23 22:11:40,64.3833,-173.3,8.71,52,0,4.47
93,Balabac,PH,2021-11-23 22:11:40,7.9868,117.0645,82.71,79,100,14.36
94,Qaanaaq,GL,2021-11-23 22:11:40,77.484,-69.3632,-6.11,67,83,9.55
95,Cape Town,ZA,2021-11-23 22:10:31,-33.9258,18.4232,64.11,63,100,17.49
96,Khatanga,RU,2021-11-23 22:11:41,71.9667,102.5,0.7,79,97,19.73
97,Saint-Pierre,RE,2021-11-23 22:07:21,-21.3393,55.4781,73.29,69,0,2.3
98,Buchmany,UA,2021-11-23 22:11:41,51.0689,28.0421,33.1,93,100,5.3
99,Petawawa,CA,2021-11-23 22:11:41,45.9001,-77.3328,27.79,66,43,3.56
100,Mtambile,TZ,2021-11-23 22:11:42,-5.3833,39.7,79.2,84,85,5.82
101,Georgetown,MY,2021-11-23 22:11:21,5.4112,100.3354,78.73,88,20,5.75
102,Miri,MY,2021-11-23 22:11:42,4.4148,114.0089,78.66,87,100,4.12
103,Xining,CN,2021-11-23 22:11:42,36.6167,101.7667,27.09,30,0,2.48
104,Macia,MZ,2021-11-23 22:11:43,-25.0269,33.0989,68.32,83,35,11.61
105,Ribeira Grande,PT,2021-11-23 22:09:18,38.5167,-28.7,67.68,85,83,18.61
106,Portland,US,2021-11-23 22:11:43,45.5234,-122.6762,52.93,82,40,1.01
107,Yellowknife,CA,2021-11-23 22:11:43,62.456,-114.3525,-12.59,96,100,7.23
108,Hambantota,LK,2021-11-23 22:10:27,6.1241,81.1185,77.63,86,100,5.73
109,Havre,FR,2021-11-23 22:11:44,49.5833,0.3333,43.57,93,0,8.05
110,Sorong,ID,2021-11-23 22:11:44,-0.8833,131.25,79.21,86,91,6.08
111,Chotila,IN,2021-11-23 22:11:44,22.4167,71.1833,73.6,37,7,1.36
112,Grand Gaube,MU,2021-11-23 22:11:45,-20.0064,57.6608,72.0,84,65,12.35
113,Shalakusha,RU,2021-11-23 22:11:45,62.2247,40.2539,13.39,98,94,4.72
114,Ust-Nera,RU,2021-11-23 22:11:45,64.5667,143.2,-18.81,96,97,3.09
115,Lata,PT,2021-11-23 22:11:46,40.1629,-8.3327,48.81,91,95,2.55
116,Nador,MA,2021-11-23 22:11:46,35.174,-2.9287,53.85,94,40,6.91
117,Longyearbyen,SJ,2021-11-23 22:11:46,78.2186,15.6401,4.84,72,20,11.5
118,Bandarbeyla,SO,2021-11-23 22:11:47,9.4942,50.8122,80.06,56,97,11.25
119,Port Alfred,ZA,2021-11-23 22:11:47,-33.5906,26.891,62.53,66,91,17.38
120,Saint-Joseph,RE,2021-11-23 22:11:47,-21.3667,55.6167,72.21,78,56,7.23
121,Saint-Francois,FR,2021-11-23 22:09:19,46.4154,3.9054,31.68,89,2,2.3
122,Hami,CN,2021-11-23 22:10:19,42.8,93.45,25.54,64,61,1.81
123,Qasigiannguit,GL,2021-11-23 22:11:48,68.8193,-51.1922,19.65,68,100,8.25
124,Ponta Do Sol,PT,2021-11-23 22:11:48,32.6667,-17.1,68.63,79,100,6.17
125,Menuma,JP,2021-11-23 22:11:49,36.2167,139.3833,51.71,43,1,6.58
126,Sonoita,MX,2021-11-23 22:11:49,31.85,-112.8333,75.52,25,100,5.19
127,Dargaville,NZ,2021-11-23 22:11:49,-35.9333,173.8833,67.93,70,78,3.18
128,Port Hedland,AU,2021-11-23 22:11:50,-20.3167,118.5667,78.85,78,40,5.75
129,Soyo,AO,2021-11-23 22:11:50,-6.1349,12.3689,78.58,87,65,8.52
130,Stepnyak,KZ,2021-11-23 22:11:50,52.8339,70.7803,14.76,90,35,15.82
131,Bengkulu,ID,2021-11-23 22:11:50,-3.8004,102.2655,74.95,85,99,3.02
132,Boa Vista,BR,2021-11-23 22:11:51,2.8197,-60.6733,85.98,62,20,3.44
133,Presidente Medici,BR,2021-11-23 22:11:51,-11.1753,-61.9014,77.74,91,97,4.03
134,Port Elizabeth,ZA,2021-11-23 22:11:51,-33.918,25.5701,57.09,60,72,12.01
135,Mahebourg,MU,2021-11-23 22:11:52,-20.4081,57.7,71.89,88,40,4.61
136,Kiama,AU,2021-11-23 22:08:02,-34.6833,150.8667,71.26,81,100,5.99
137,Whitehorse,CA,2021-11-23 22:11:10,60.7161,-135.0538,8.31,78,99,8.01
138,Zyryanka,RU,2021-11-23 22:12:52,65.75,150.85,-21.86,95,100,7.34
139,Tuatapere,NZ,2021-11-23 22:12:53,-46.1333,167.6833,60.12,51,98,3.06
140,Sistranda,NO,2021-11-23 22:12:53,63.7256,8.834,44.91,83,100,19.91
141,Banda Aceh,ID,2021-11-23 22:12:53,5.5577,95.3222,78.93,84,100,5.32
142,Sao Felix Do Xingu,BR,2021-11-23 22:12:54,-6.6447,-51.995,76.15,85,77,1.99
143,Leningradskiy,RU,2021-11-23 22:12:54,69.3833,178.4167,-13.92,81,68,5.28
144,Oktyabrskiy,RU,2021-11-23 22:12:54,54.4815,53.471,2.8,99,83,5.57
145,Japura,ID,2021-11-23 22:12:55,-0.3167,102.35,73.9,98,100,2.35
146,Ijuin,JP,2021-11-23 22:12:55,31.6167,130.4,43.92,75,100,10.85
147,Beyneu,KZ,2021-11-23 22:12:55,45.3167,55.2,45.9,49,100,10.25
148,East London,ZA,2021-11-23 22:12:56,-33.0153,27.9116,61.39,72,72,19.46
149,Ivanjica,RS,2021-11-23 22:12:56,43.5803,20.2311,32.38,95,65,1.21
150,Mega,ET,2021-11-23 22:12:56,4.05,38.3,62.92,58,4,4.88
